"V1" "V2" "V3" "V4"
1949 11 -2.6 110.2
1949 12 -4.9 60.9
1950 1 -7.5 67
1950 2 -5.5 92.8
1950 3 -2.8 1.9
1950 4 -1.1 151.5
1950 5 5.3 93
1950 6 9.7 51.5
1950 7 12.1 89.5
1950 8 11.3 64
1950 9 7.7 80.6
1950 10 3 0.5
1950 11 -2.2 168.5
1950 12 -7.4 89.9
1951 1 -5.7 182
1951 2 -6.5 180.9
1951 3 -5.3 49.9
1951 4 -1.1 64.6
1951 5 3.8 86.2
1951 6 8.5 123.7
1951 7 10.1 103.4
1951 8 10.3 148.9
1951 9 10.1 50.4
1951 10 2.6 49.5
1951 11 -0.5 249.7
1951 12 -3.9 26.4
1952 1 -8.1 30.9
1952 2 -8.2 13
1952 3 -2.8 66.7
1952 4 1.7 120
1952 5 5.8 86.6
1952 6 10.7 64.2
1952 7 12.6 112
1952 8 10.9 137
1952 9 5.1 133.3
1952 10 1.9 159.6
1952 11 -3.8 110.1
1952 12 -7.1 60.9
1953 1 -9.6 1.5
