Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.08.2017


Year  Month        Temperature      Precipitation  
1915     11               -4.9               50.4  
1915     12               -2.8              107.7  
1916      1               -4.7               23.0  
1916      2               -6.3              149.4  
1916      3               -2.6              214.2  
1916      4               -0.5               56.8  
1916      5                4.3               95.0  
1916      6                6.2              182.9  
1916      7                9.7               84.1  
1916      8               10.0              127.2  
1916      9                5.6              104.4  
1916     10                2.3               73.3  
1916     11               -2.9              184.6  
1916     12               -4.8              183.0  
1917      1               -9.2               75.9  
1917      2               -9.5                9.0  
1917      3               -6.0              107.5  
1917      4               -3.1              106.9  
1917      5                4.7              124.2  
1917      6                9.4               69.3  
1917      7               10.2              132.6  
1917      8                9.5              181.4  
1917      9                8.9               30.4  
1917     10                0.5              244.6  
1917     11               -3.3               29.4  
1917     12               -9.3               32.3  
1918      1               -7.4               23.8  
1918      2               -6.9               13.3  
1918      3               -4.7              111.3  
1918      4                0.1               54.4  
1918      5                4.9               22.6  
1918      6                6.1              116.1  
1918      7                9.5               61.5  
1918      8                9.5               55.0  
1918      9                8.0              232.7  
1918     10                1.7              102.5  
1918     11               -2.7               28.7  
1918     12               -3.8               69.3  
1919      1               -8.4              141.0  
1919      2               -8.1               27.7  
1919      3               -4.6              100.8  
1919      4               -2.0              160.5  
1919      5                2.3                5.4  
1919      6                8.6               38.7  
1919      7                7.5              130.7  
1919      8               11.6               50.6  
1919      9                8.0               97.1  
1919     10               -0.9               50.6  
1919     11               -4.9              123.4  
1919     12               -6.9               70.5  
1920      1               -4.5              111.8  
1920      2               -5.7               10.0  
1920      3               -2.6              155.0  
1920      4                0.0              168.3  
1920      5                6.4              126.9  
1920      6                8.1               67.9  
1920      7                9.9              152.9  
1920      8                9.2               79.5  
1920      9                7.9              191.0  
1920     10                4.0               22.6  
1920     11               -1.8               13.8  
1920     12               -5.6               45.9  
1921      1               -4.4               76.6  
1921      2               -7.4               10.5  
1921      3               -3.6               34.8  
1921      4               -1.3               79.2  
1921      5                5.9               72.0  
1921      6                8.2               54.7  
1921      7               12.2               39.8  
1921      8               10.4               67.8  
1921      9                9.2               23.5  
1921     10                5.2                8.3  
1921     11               -3.9               37.9  
1921     12               -4.4                5.3  
1922      1               -8.7              130.3  
1922      2               -6.0               22.9  
1922      3               -2.7              197.2  
1922      4               -1.5               95.3  
1922      5                5.3               42.0  
1922      6                8.6               79.2  
